pathway	ENVGutDigesta1	ENVGutDigesta2	ENVGutDigesta3	ENVGutTissue1	ENVGutTissue2	ENVGutTissue3	LabGutDigesta1	LabGutDigesta2	LabGutDigesta3	LabGutTissue1	LabGutTissue2	LabGutTissue3
ko00361	1315.0429	938.8686	1081.4876	114.0476	59	67.381	2749.3219	4002.181	3427.0543	20.1819	112.7381	20.1819
ko00362	3241.9509	3423.0298	3151.98	376.3475	510.426	387.1509	9119.1596	12498.3523	10733.4325	632.2404	1002.5211	632.2404
ko00363	103	26	104	0	0	0	14	1.25	0	0	0	0
ko00364	0	0	0	0	0	0	4553.01	7963.9933	0	0	0	0
ko00365	0	0.5	0	0	0	0	113	19	0	0	0	0
ko00380	7614.2615	7475.2885	7166.2418	198.5492	102.0918	0	16206.1362	22263.1149	19779.621	87.3231	480.029	87.3231
ko00400	18079.0831	20477.5578	17429.9125	9939.0692	13830.0975	10382.6389	32712.6078	53919.4361	43984.19	16611.2928	22113.6731	16611.2928
ko00404	70.756	73.181	41.825	1.5	0	0	211.5	2848.1885	788.4445	1.0415	57.775	1.0415
ko00410	0	0	7647.2414	0	0	0	18512.1232	0	0	0	4094.7382	0
ko00430	17687.8408	17593.6992	14816.5592	0	0	0	27999.3125	46956.6892	39809.1325	5283.915	7353.7792	5283.915
ko00440	2376.5445	2427.4909	2163.9723	787.7727	1171.5	850.3182	5675.7768	5859.8014	5479.4545	1467.78	1946.1591	1467.78
ko00450	19582.7571	21383.1624	17956.6447	12095.2241	16924.1876	12636	29916.5318	51265.0153	39625.27	20288.2606	26902.3024	20288.2606
ko00471	22210.282	25199.686	20964.214	11913.91	16009.29	12171.2	41585.03	70574.136	56202.108	18911.594	25489.976	18911.594
ko00472	1175.9	1921	1475.566	0	5112.8	0	1789.4	1011.25	21.9	0	8116.5	0
ko00473	24650.81	31516.3067	24056.6633	19002.14	26298.5267	19733.6667	62563.5333	90519.17	82188.61	31403.2167	41766.9567	31403.2167
ko00480	14689.2025	15035.8693	12945.7775	2670.4275	3757.3225	2794.2857	28736.4186	50567.3207	40273.7718	4591.0736	6444.1761	4591.0736
ko00500	16109.316	15664.3442	13083.4823	2131.604	1985.8677	1751.2453	21592.0217	34423.5979	31859.6758	1843.9009	3116.6736	1843.9009
ko00510	1194.7461	1334.9891	1335.9965	753.087	1111.6522	816.7826	294.3883	158.0978	12.2065	1363.4565	1774.7283	1363.4565
ko00511	26444.7773	24920.3218	21700.2482	0	14.6364	27.3636	16793.9955	23297.8155	25178.7145	20.6209	414.7273	20.6209
ko00520	14416.2928	15942.0358	13095.7911	6047.0834	8009.3761	6106.3378	25070.6126	40669.5141	35887.342	9356.448	12677.2716	9356.448
ko00521	28959.136	28223.139	26870.998	9716.51	13246.79	10061	29374.131	50272.485	32915.093	15842.613	21364.951	15842.613
